index,pruid,prname,prnameFR,sdate,numconf,numprob,numdeaths,numtotal,numtoday,ratetotal
226,35,Ontario,Ontario,3/22/2020,425,0,5,425,48,2.92
227,24,Quebec,QuÃ©bec,3/22/2020,221,0,4,221,0,2.6
228,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/22/2020,3,6,0,9,3,1.73
229,13,New Brunswick,Nouveau-Brunswick,3/22/2020,9,8,0,17,0,2.19
230,12,Nova Scotia,Nouvelle-Ã‰cosse,3/22/2020,28,0,0,28,7,2.88
231,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/22/2020,3,0,0,3,1,1.91
232,60,Yukon,Yukon,3/22/2020,0,0,0,0,0,0
233,61,Northwest Territories,Territoires du Nord-Ouest,3/22/2020,1,0,0,1,0,2.23
234,62,Nunavut,Nunavut,3/22/2020,0,0,0,0,0,0
235,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/22/2020,13,0,0,13,0,
236,1,Canada,Canada,3/22/2020,1430,41,20,1471,100,3.91
237,59,British Columbia,Colombie-Britannique,3/23/2020,472,0,13,472,48,9.31
238,48,Alberta,Alberta,3/23/2020,301,0,1,301,42,6.89
239,47,Saskatchewan,Saskatchewan,3/23/2020,65,1,0,66,14,5.62
240,46,Manitoba,Manitoba,3/23/2020,11,9,0,20,1,1.46
241,35,Ontario,Ontario,3/23/2020,503,0,6,503,78,3.45
242,24,Quebec,QuÃ©bec,3/23/2020,221,407,4,628,407,7.4
243,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/23/2020,4,20,0,24,15,4.6
244,13,New Brunswick,Nouveau-Brunswick,3/23/2020,9,8,0,17,0,2.19
245,12,Nova Scotia,Nouvelle-Ã‰cosse,3/23/2020,41,0,0,41,13,4.22
246,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/23/2020,3,0,0,3,0,1.91
247,60,Yukon,Yukon,3/23/2020,2,0,0,2,2,4.9
248,61,Northwest Territories,Territoires du Nord-Ouest,3/23/2020,1,0,0,1,0,2.23
249,62,Nunavut,Nunavut,3/23/2020,0,0,0,0,0,0
250,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/23/2020,13,0,0,13,0,
251,1,Canada,Canada,3/23/2020,1646,445,24,2091,620,5.56
99,62,Nunavut,Nunavut,3/13/2020,0,0,0,0,0,0
100,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/13/2020,2,0,0,2,1,
101,1,Canada,Canada,3/13/2020,176,3,2,179,38,0.48
102,59,British Columbia,Colombie-Britannique,3/14/2020,64,0,1,64,11,1.26
103,48,Alberta,Alberta,3/14/2020,29,0,0,29,6,0.66
104,47,Saskatchewan,Saskatchewan,3/14/2020,0,2,0,2,1,0.17
105,46,Manitoba,Manitoba,3/14/2020,1,3,0,4,1,0.29
106,35,Ontario,Ontario,3/14/2020,79,0,1,79,0,0.54
107,24,Quebec,QuÃ©bec,3/14/2020,17,0,0,17,0,0.2
108,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/14/2020,0,0,0,0,0,0
109,13,New Brunswick,Nouveau-Brunswick,3/14/2020,1,1,0,2,1,0.26
110,12,Nova Scotia,Nouvelle-Ã‰cosse,3/14/2020,0,0,0,0,0,0
111,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/14/2020,0,0,0,0,0,0
112,60,Yukon,Yukon,3/14/2020,0,0,0,0,0,0
113,61,Northwest Territories,Territoires du Nord-Ouest,3/14/2020,0,0,0,0,0,0
114,62,Nunavut,Nunavut,3/14/2020,0,0,0,0,0,0
115,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/14/2020,2,0,0,2,0,
116,1,Canada,Canada,3/14/2020,193,6,2,199,20,0.53
117,59,British Columbia,Colombie-Britannique,3/15/2020,73,0,1,73,9,1.44
118,48,Alberta,Alberta,3/15/2020,39,0,0,39,10,0.89
119,47,Saskatchewan,Saskatchewan,3/15/2020,0,2,0,2,0,0.17
120,46,Manitoba,Manitoba,3/15/2020,4,0,0,4,0,0.29
121,35,Ontario,Ontario,3/15/2020,103,0,1,103,24,0.71
122,24,Quebec,QuÃ©bec,3/15/2020,24,0,0,24,7,0.28
123,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/15/2020,0,1,0,1,1,0.19
124,13,New Brunswick,Nouveau-Brunswick,3/15/2020,1,1,0,2,0,0.26
125,12,Nova Scotia,Nouvelle-Ã‰cosse,3/15/2020,0,0,0,0,0,0
126,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/15/2020,1,0,0,1,1,0.64
127,60,Yukon,Yukon,3/15/2020,0,0,0,0,0,0
128,61,Northwest Territories,Territoires du Nord-Ouest,3/15/2020,0,0,0,0,0,0
129,62,Nunavut,Nunavut,3/15/2020,0,0,0,0,0,0
130,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/15/2020,4,0,0,4,2,
131,1,Canada,Canada,3/15/2020,249,4,2,253,54,0.67
132,59,British Columbia,Colombie-Britannique,3/16/2020,73,0,4,73,0,1.44
133,48,Alberta,Alberta,3/16/2020,56,0,0,56,17,1.28
134,47,Saskatchewan,Saskatchewan,3/16/2020,1,5,0,6,4,0.51
135,46,Manitoba,Manitoba,3/16/2020,4,3,0,7,3,0.51
136,35,Ontario,Ontario,3/16/2020,145,0,1,145,42,1
137,24,Quebec,QuÃ©bec,3/16/2020,39,0,0,39,15,0.46
138,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/16/2020,0,1,0,1,0,0.19
139,13,New Brunswick,Nouveau-Brunswick,3/16/2020,1,5,0,6,4,0.77
140,12,Nova Scotia,Nouvelle-Ã‰cosse,3/16/2020,0,3,0,3,3,0.31
141,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/16/2020,1,0,0,1,0,0.64
142,60,Yukon,Yukon,3/16/2020,0,0,0,0,0,0
143,61,Northwest Territories,Territoires du Nord-Ouest,3/16/2020,0,0,0,0,0,0
144,62,Nunavut,Nunavut,3/16/2020,0,0,0,0,0,0
145,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/16/2020,4,0,0,4,0,
146,1,Canada,Canada,3/16/2020,324,17,5,341,88,0.91
147,59,British Columbia,Colombie-Britannique,3/17/2020,103,0,7,103,30,2.03
148,48,Alberta,Alberta,3/17/2020,74,0,0,74,18,1.69
149,47,Saskatchewan,Saskatchewan,3/17/2020,2,5,0,7,1,0.6
150,46,Manitoba,Manitoba,3/17/2020,7,0,0,7,0,0.51
151,35,Ontario,Ontario,3/17/2020,177,0,1,177,32,1.22
152,24,Quebec,QuÃ©bec,3/17/2020,50,0,0,50,11,0.59
153,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/17/2020,0,1,0,1,0,0.19
154,13,New Brunswick,Nouveau-Brunswick,3/17/2020,2,5,0,7,1,0.9
155,12,Nova Scotia,Nouvelle-Ã‰cosse,3/17/2020,0,5,0,5,2,0.51
156,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/17/2020,1,0,0,1,0,0.64
157,60,Yukon,Yukon,3/17/2020,0,0,0,0,0,0
158,61,Northwest Territories,Territoires du Nord-Ouest,3/17/2020,0,0,0,0,0,0
159,62,Nunavut,Nunavut,3/17/2020,0,0,0,0,0,0
160,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/17/2020,8,0,0,8,4,
161,1,Canada,Canada,3/17/2020,424,16,8,440,99,1.17
162,59,British Columbia,Colombie-Britannique,3/18/2020,186,0,7,186,83,3.67
163,48,Alberta,Alberta,3/18/2020,97,0,0,97,23,2.22
164,47,Saskatchewan,Saskatchewan,3/18/2020,2,6,0,8,1,0.68
165,46,Manitoba,Manitoba,3/18/2020,8,7,0,15,8,1.1
166,35,Ontario,Ontario,3/18/2020,189,0,1,189,12,1.3
167,24,Quebec,QuÃ©bec,3/18/2020,74,0,1,74,24,0.87
168,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/18/2020,0,3,0,3,2,0.58
169,13,New Brunswick,Nouveau-Brunswick,3/18/2020,2,6,0,8,1,1.03
170,12,Nova Scotia,Nouvelle-Ã‰cosse,3/18/2020,1,6,0,7,2,0.72
171,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/18/2020,1,0,0,1,0,0.64
172,60,Yukon,Yukon,3/18/2020,0,0,0,0,0,0
173,61,Northwest Territories,Territoires du Nord-Ouest,3/18/2020,0,0,0,0,0,0
174,62,Nunavut,Nunavut,3/18/2020,0,0,0,0,0,0
175,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/18/2020,9,0,0,9,1,
176,1,Canada,Canada,3/18/2020,569,28,9,597,157,1.59
177,59,British Columbia,Colombie-Britannique,3/19/2020,271,0,8,271,85,5.34
178,48,Alberta,Alberta,3/19/2020,146,0,1,146,49,3.34
179,47,Saskatchewan,Saskatchewan,3/19/2020,8,12,0,20,12,1.7
